ALEX,JONES,BROWN,26,M,52000.00,4299012345818901,1234,CREDITO,-5000.00,0.10,0.15,100000.00,0.15,24,AUTOMOVILISTICO
BELLE,ROBINSON,SMITH,33,F,53000.00,4299443456789012,2345,CREDITO,-7000.00,0.08,0.10,50000.00,0.10,12,ESTUDIANTIL
CARL,ANDERSON,LEE,40,M,50000.00,4299234567720123,3456,CREDITO,-12000.00,0.11,0.10,300000.00,0.12,36,CASA
DINA,SMITH,ANDERSON,31,F,49000.00,4299345611901234,4567,CREDITO,-8000.00,0.09,0.15,100000.00,0.15,24,AUTOMOVILISTICO
ELLA,JONES,ROBINSON,27,F,51000.00,4299456780012345,5678,CREDITO,-15000.00,0.12,0.10,50000.00,0.10,12,ESTUDIANTIL
FRANK,LEE,SMITH,36,M,55000.00,4299567878123456,6789,CREDITO,-20000.00,0.07,0.15,300000.00,0.12,36,CASA
GAIL,ANDERSON,JONES,29,F,52000.00,4299632901234567,7890,CREDITO,-6000.00,0.10,0.10,100000.00,0.15,24,AUTOMOVILISTICO
HARRY,SMITH,ROBINSON,38,M,53000.00,4299789012348678,8901,CREDITO,-9000.00,0.11,0.15,50000.00,0.10,12,ESTUDIANTIL
IRENE,JONES,ANDERSON,32,F,50000.00,4299819123456789,9012,CREDITO,-13000.00,0.08,0.10,300000.00,0.12,36,CASA
JACK,LEE,SMITH,28,M,54000.00,4299901234567790,0123,CREDITO,-11000.00,0.10,0.15,100000.00,0.15,24,AUTOMOVILISTICO
KATE,ANDERSON,JONES,34,F,51000.00,4299982345678901,1234,CREDITO,-14000.00,0.12,0.10,300000.00,0.12,36,CASA
LUCAS,SMITH,ROBINSON,27,M,53000.00,4299123455689012,2345,CREDITO,-5000.00,0.09,0.15,50000.00,0.10,12,ESTUDIANTIL
MIA,JONES,ANDERSON,35,F,55000.00,42991734567890123,3456,CREDITO,-8000.00,0.10,0.10,100000.00,0.15,24,AUTOMOVILISTICO
NINA,LEE,SMITH,39,F,50000.00,4299345678907234,4567,CREDITO,-14000.00,0.11,0.10,300000.00,0.12,36,CASA
OLIVER,SMITH,ROBINSON,27,M,53000.00,4299956789012345,5678,CREDITO,-6000.00,0.12,0.15,100000.00,0.15,24,AUTOMOVILISTICO
